column_name,presentation_label_ko,presentation_label_en,interpretation_group,suggested_short_name,keep_original_in_code,use_label_in_report,why
w1_4_short_watch_time_le5,1~4주 5분 이하 짧은 시청 시간,w1 4 short watch time le5,short_watch_behavior,4w_short_watch_time_le5,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_week4_watch_time,1~4주 4주차 시청 시간,w1 4 week4 watch time,weekly_watch_time,4w_week4_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_week4_sessions,1~4주 4주차 세션 수,w1 4 week4 sessions,weekly_sessions,4w_week4_sessions,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_week4_ratio,1~4주 4주차 시청 비중,w1 4 week4 ratio,weekly_ratio,4w_week4_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_w4_minus_w1_watch_time,1~4주 w4 minus w1 watch time,w1 4 w4 minus w1 watch time,week_to_week_delta,4w_w4_minus_w1_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_w4_minus_w3_watch_time,1~4주 w4 minus w3 watch time,w1 4 w4 minus w3 watch time,week_to_week_delta,4w_w4_minus_w3_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_content_has_watch_obs,1~4주 콘텐츠 시청 관측 여부,w1 4 content has watch obs,watch_presence,4w_content_has_watch_obs,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_covered_watch_time,1~4주 장르 확인 시청 시간,w1 4 genre covered watch time,coverage_missing_proxy,4w_genre_covered_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_missing_watch_time,1~4주 장르 미확인 시청 시간,w1 4 genre missing watch time,coverage_missing_proxy,4w_genre_missing_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_covered_watch_ratio,1~4주 장르 확인 시청 비중,w1 4 genre covered watch ratio,coverage_missing_proxy,4w_genre_covered_watch_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_missing_watch_ratio,1~4주 장르 미확인 시청 비중,w1 4 genre missing watch ratio,coverage_missing_proxy,4w_genre_missing_watch_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_unique_count,1~4주 시청 장르 수,w1 4 genre unique count,other,4w_genre_unique_count,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_top_genre,1~4주 최다 시청 장르,w1 4 top genre,genre_preference_ratio,4w_top_genre,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_top_genre_watch_time,1~4주 최다 장르 시청 시간,w1 4 top genre watch time,genre_preference_ratio,4w_top_genre_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_top_genre_watch_ratio,1~4주 최다 장르 시청 비중,w1 4 top genre watch ratio,genre_preference_ratio,4w_top_genre_watch_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_entropy,1~4주 장르 다양성,w1 4 genre entropy,genre_preference_ratio,4w_genre_entropy,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_ratio_drama,1~4주 drama 장르 비중,w1 4 genre ratio drama,genre_preference_ratio,4w_genre_ratio_drama,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_watch_time_drama,1~4주 drama 장르 시청 시간,w1 4 genre watch time drama,genre_volume_proxy,4w_genre_watch_time_drama,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_session_count_drama,1~4주 drama 장르 세션 수,w1 4 genre session count drama,genre_volume_proxy,4w_genre_session_count_drama,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_ratio_thriller_crime,1~4주 thriller/crime 장르 비중,w1 4 genre ratio thriller crime,genre_preference_ratio,4w_genre_ratio_thriller_crime,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_watch_time_thriller_crime,1~4주 thriller/crime 장르 시청 시간,w1 4 genre watch time thriller crime,genre_volume_proxy,4w_genre_watch_time_thriller_crime,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_session_count_thriller_crime,1~4주 thriller/crime 장르 세션 수,w1 4 genre session count thriller crime,genre_volume_proxy,4w_genre_session_count_thriller_crime,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_ratio_sf_fantasy,1~4주 sf/fantasy 장르 비중,w1 4 genre ratio sf fantasy,genre_preference_ratio,4w_genre_ratio_sf_fantasy,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_watch_time_sf_fantasy,1~4주 sf/fantasy 장르 시청 시간,w1 4 genre watch time sf fantasy,genre_volume_proxy,4w_genre_watch_time_sf_fantasy,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_session_count_sf_fantasy,1~4주 sf/fantasy 장르 세션 수,w1 4 genre session count sf fantasy,genre_volume_proxy,4w_genre_session_count_sf_fantasy,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_ratio_action_adventure,1~4주 action/adventure 장르 비중,w1 4 genre ratio action adventure,genre_preference_ratio,4w_genre_ratio_action_adventure,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_watch_time_action_adventure,1~4주 action/adventure 장르 시청 시간,w1 4 genre watch time action adventure,genre_volume_proxy,4w_genre_watch_time_action_adventure,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_session_count_action_adventure,1~4주 action/adventure 장르 세션 수,w1 4 genre session count action adventure,genre_volume_proxy,4w_genre_session_count_action_adventure,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_ratio_animation_family,1~4주 animation/family 장르 비중,w1 4 genre ratio animation family,genre_preference_ratio,4w_genre_ratio_animation_family,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_watch_time_animation_family,1~4주 animation/family 장르 시청 시간,w1 4 genre watch time animation family,genre_volume_proxy,4w_genre_watch_time_animation_family,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_session_count_animation_family,1~4주 animation/family 장르 세션 수,w1 4 genre session count animation family,genre_volume_proxy,4w_genre_session_count_animation_family,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_ratio_romance,1~4주 romance 장르 비중,w1 4 genre ratio romance,genre_preference_ratio,4w_genre_ratio_romance,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_watch_time_romance,1~4주 romance 장르 시청 시간,w1 4 genre watch time romance,genre_volume_proxy,4w_genre_watch_time_romance,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_session_count_romance,1~4주 romance 장르 세션 수,w1 4 genre session count romance,genre_volume_proxy,4w_genre_session_count_romance,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_ratio_comedy,1~4주 comedy 장르 비중,w1 4 genre ratio comedy,genre_preference_ratio,4w_genre_ratio_comedy,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_watch_time_comedy,1~4주 comedy 장르 시청 시간,w1 4 genre watch time comedy,genre_volume_proxy,4w_genre_watch_time_comedy,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_session_count_comedy,1~4주 comedy 장르 세션 수,w1 4 genre session count comedy,genre_volume_proxy,4w_genre_session_count_comedy,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_ratio_historical_war,1~4주 historical/war 장르 비중,w1 4 genre ratio historical war,genre_preference_ratio,4w_genre_ratio_historical_war,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_watch_time_historical_war,1~4주 historical/war 장르 시청 시간,w1 4 genre watch time historical war,genre_volume_proxy,4w_genre_watch_time_historical_war,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_session_count_historical_war,1~4주 historical/war 장르 세션 수,w1 4 genre session count historical war,genre_volume_proxy,4w_genre_session_count_historical_war,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_ratio_horror,1~4주 horror 장르 비중,w1 4 genre ratio horror,genre_preference_ratio,4w_genre_ratio_horror,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_watch_time_horror,1~4주 horror 장르 시청 시간,w1 4 genre watch time horror,genre_volume_proxy,4w_genre_watch_time_horror,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_session_count_horror,1~4주 horror 장르 세션 수,w1 4 genre session count horror,genre_volume_proxy,4w_genre_session_count_horror,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_ratio_other,1~4주 other 장르 비중,w1 4 genre ratio other,genre_preference_ratio,4w_genre_ratio_other,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_watch_time_other,1~4주 other 장르 시청 시간,w1 4 genre watch time other,genre_volume_proxy,4w_genre_watch_time_other,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_genre_session_count_other,1~4주 other 장르 세션 수,w1 4 genre session count other,genre_volume_proxy,4w_genre_session_count_other,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_release_month_covered_watch_ratio,1~4주 공개월 확인 시청 비중,w1 4 release month covered watch ratio,weekly_ratio,4w_release_month_covered_watch_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_avg_ott_release_month_weighted,1~4주 가중 평균 공개월,w1 4 avg ott release month weighted,release_month_proxy,4w_avg_ott_release_month_weighted,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_recent_content_watch_ratio,1~4주 최근 콘텐츠 시청 비중,w1 4 recent content watch ratio,release_month_proxy,4w_recent_content_watch_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_old_content_watch_ratio,1~4주 오래된 콘텐츠 시청 비중,w1 4 old content watch ratio,release_month_proxy,4w_old_content_watch_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
