MOVIE_NUM,movie_title,ott_release_month,title_key_norm,metadata_source,metadata_quality,use_for_content_features,source_wavve_flag,source_kobis_flag,source_movie5171_flag,used_movie5171_auxiliary_flag,primary_metadata_covered_flag,metadata_covered_flag,wavve_match_count,kobis_match_count,movie5171_match_count,wavve_movieids,kobis_movie_codes,movie5171_titles,wavve_titles,kobis_titles,kobis_titles_en,kobis_type_names,kobis_selected_movie_code,kobis_selected_title,kobis_selected_title_en,kobis_selected_type,kobis_selected_directors,kobis_selected_actors,title_year_hint,kobis_title_similarity,kobis_year_diff_min,kobis_year_match_flag,kobis_low_confidence_reasons,wavve_genre_raw,kobis_genre_raw,kobis_selected_genre_raw,movie5171_genre_raw,unified_genres,wavve_tags_raw,wavve_country_raw,kobis_country_raw,kobis_selected_country_raw,movie5171_country_raw,unified_countries,wavve_age_rating_norm,kobis_age_rating_norm,kobis_selected_age_rating_norm,unified_age_rating,wavve_runtime_min,kobis_runtime_min,kobis_selected_runtime_min,movie5171_runtime_min,unified_runtime_min,wavve_release_year,kobis_release_year,kobis_open_year,kobis_selected_release_year,kobis_selected_open_year,unified_release_year,is_kids_animation,is_family_content,is_adult_content,is_korean_content,is_us_content,is_japanese_content,is_recent_content,is_old_content,is_long_movie,is_short_content
2330,프레스,201712,프레스,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2331,그림형제:마르바덴숲의전설,201403,그림형제마르바덴숲의전설,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2332,위아마샬,201504,위아마샬,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2333,[OCEAN공개]모리타니안,202103,ocean공개모리타니안,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2334,탐정사무소:사랑과전쟁,201605,탐정사무소사랑과전쟁,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2335,돈슬립,201708,돈슬립,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2336,한낮의유성,201804,한낮의유성,kobis+movie5171,B_or_C_kobis_unchecked,1,0,1,1,0,1,1,,1.0,1.0,,20177950,한낮의유성,,한낮의 유성,Daytime Shooting Star,장편,20177950,한낮의 유성,Daytime Shooting Star,장편,신조 타케히코,나가노 메이|미우라 쇼헤이|시라하마 아란,,1.0000,,,,,멜로|로맨스,멜로/로맨스,로맨스|가족,로맨스|기타,,,일본,일본,일본,일본,,12세,12세,12세,,118.0,118.0,119.0,118.0,,2017,2018,2017,2018,2017,0,1,0,0,0,1,0,0,0,0
2337,스타트렉:더비기닝(2009),201407,스타트렉더비기닝(2009),missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2009,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2338,겨울왕국[영어자막],201611,겨울왕국영어자막,kobis+movie5171,B_or_C_kobis_unchecked,1,0,1,1,0,1,1,,1.0,1.0,,20136803,겨울왕국[영어자막],,겨울왕국,Frozen,장편,20136803,겨울왕국,Frozen,장편,제니퍼 리|크리스 벅,이디나 멘젤|크리스틴 벨|조나단 그로프|조시 게드,,1.0000,,,,,애니메이션|어드벤처|가족|코미디|뮤지컬|판타지,애니메이션|어드벤처|가족|코미디|뮤지컬|판타지,가족|액션|판타지|애니메이션|코미디,코미디|SF/판타지|모험/어드벤처|애니메이션/키즈|가족|기타,,,미국,미국,미국,미국,,전체,전체,전체,,108.0,108.0,102.0,108.0,,2013,2014,2013,2014,2013,1,1,0,0,1,0,0,0,0,0
2339,옛날옛적서부에서(1968),201911,옛날옛적서부에서(1968),missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1968,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2340,주온:끝의시작,201908,주온끝의시작,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2341,죽음을부르는밤,201808,죽음을부르는밤,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2343,오픈더도어,202004,오픈더도어,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_EN01_EN000000464,,오픈더도어,오픈 더 도어,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,공포|스릴러,,,범죄|스릴러,스릴러/범죄|공포,공포|스릴러,러시아,,,대한민국,러시아,15세,,,15세,89.0,,,101.0,89.0,2020,,,,,2020,0,0,0,0,0,0,1,0,0,0
2344,로렐,201607,로렐,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2345,바람의언덕,202005,바람의언덕,kobis+movie5171,B_or_C_kobis_unchecked,1,0,1,1,0,1,1,,1.0,1.0,,20196774,바람의언덕,,바람의 언덕,The Hill of Wind,장편,20196774,바람의 언덕,The Hill of Wind,장편,박석영,정은경|장선|김태희|김준배|장해금,,1.0000,,,,,드라마,드라마,드라마,드라마,,,한국,한국,대한민국,한국,,전체,전체,전체,,106.0,106.0,108.0,106.0,,2019,2020,2019,2020,2019,0,1,0,1,0,0,1,0,0,0
2346,비키니모델아카데미,201902,비키니모델아카데미,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2347,무법자,201909,무법자,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2348,늑대와춤을,202004,늑대와춤을,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2349,프레지던트메이커,201605,프레지던트메이커,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CD01_WR0000011492,,프레지던트메이커,프레지던트 메이커,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,드라마|코미디,,,코미디|드라마,드라마|코미디,드라마|코미디,미국,,,미국,미국,15세,,,15세,107.5,,,107.0,107.5,2015,,,,,2015,0,0,0,0,1,0,0,0,0,0
2350,바이올렛:그녀의뜨거운삶,201611,바이올렛그녀의뜨거운삶,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2351,에일리언프레데터,201811,에일리언프레데터,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2352,492명,202004,492명,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2353,이동진의라이브톡:곡성,201803,이동진의라이브톡곡성,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2354,구마적,201912,구마적,kobis+movie5171,B_or_C_kobis_unchecked,1,0,1,1,0,1,1,,1.0,1.0,,20191684,구마적,,구마적,The King of Fighters,장편,20191684,구마적,The King of Fighters,장편,고훈,우강민|최이서|조윤영|김상욱,,1.0000,,,,,액션|드라마,액션|드라마,다큐멘터리,드라마|액션,,,한국,한국,,한국,,15세,15세,15세,,80.0,80.0,85.0,80.0,,2019,,2019,,2019,0,0,0,1,0,0,1,0,0,0
2355,바스터즈:거친녀석들,201406,바스터즈거친녀석들,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CG01_NU0000011210,,바스터즈:거친녀석들,바스터즈: 거친 녀석들,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,전쟁|재난|액션|드라마,,,드라마|스릴러|전쟁,드라마|액션|전쟁/재난,전쟁|액션|드라마,미국,,,독일|미국,미국,청불,,,청불,152.9,,,153.0,152.9,2009,,,,,2009,0,0,1,0,1,0,0,1,1,0
2357,피치걸,201710,피치걸,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2358,나인더무비,201812,나인더무비,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2359,노마드더비기닝,201902,노마드더비기닝,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2360,은밀한유혹(1993),201506,은밀한유혹(1993),wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_EN01_EN000000385,,은밀한유혹(1993),은밀한 유혹,,,,,,,,,,1993,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,로맨스|범죄,,,스릴러|범죄|드라마,스릴러/범죄|로맨스,로맨스|범죄,대한민국,,,대한민국,한국,15세,,,15세,110.5,,,110.0,110.5,2015,,,,,2015,0,0,0,1,0,0,0,0,0,0
2361,리차드켐프의다른인생,201412,리차드켐프의다른인생,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2362,장난스런키스(2018),201904,장난스런키스(2018),movie5171,M_movie5171_auxiliary_fallback,1,0,0,1,1,0,1,,,1.0,,,장난스런키스(2018),,,,,,,,,,,2018,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,,,,코미디|로맨스,코미디|로맨스,,,,,대한민국,한국,,,,,,,,62.0,62.0,,,,,,,0,0,0,1,0,0,0,0,0,0
2363,로지,201905,로지,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2364,"메루,한계를향한열정",201605,메루한계를향한열정,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2365,더웨이브,201607,더웨이브,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,2.0,,1.0,MV_EN01_EN000000588|MV_EM01_EM000000134,,더웨이브,더 웨이브 (2015)|더 웨이브 (2020),,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,액션|스릴러|드라마|SF|판타지,,,드라마|스릴러|유럽에서 제작,드라마|액션|스릴러/범죄|SF/판타지,액션|스릴러|드라마|SF,노르웨이|미국,,,프랑스|독일,노르웨이|미국,12세|15세,,,12세|15세,96.2,,,107.0,96.2,2018,,,,,2018,0,0,0,0,1,0,1,0,0,0
2366,쌍자신투,201412,쌍자신투,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2367,방황하는칼날,201405,방황하는칼날,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_EN01_EN000000230,,방황하는칼날,방황하는 칼날,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,스릴러|범죄,,,드라마|액션|범죄|스릴러,스릴러/범죄,스릴러|범죄,대한민국,,,대한민국,한국,청불,,,청불,122.7,,,122.0,122.7,2014,,,,,2014,0,0,1,1,0,0,0,0,1,0
2368,아적흑도매매,201904,아적흑도매매,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2369,영원과하루(1998),201804,영원과하루(1998),missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1998,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2370,프로이드,201504,프로이드,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2371,몽골,201907,몽골,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CL01_JY0000011999,,몽골,몽골,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,전쟁|재난|로맨스|드라마,,,전쟁|액션|역사|유럽에서 제작|드라마,드라마|로맨스|전쟁/재난,전쟁|로맨스|드라마,독일|카자흐스탄|러시아,,,Kazakhstan|러시아|China|Mongolia|독일,독일|카자흐스탄|러시아,15세,,,15세,125.7,,,125.0,125.7,2011,,,,,2011,0,0,0,0,0,0,0,0,1,0
2372,두잇![리마스터링],201509,두잇리마스터링,movie5171,M_movie5171_auxiliary_fallback,1,0,0,1,1,0,1,,,1.0,,,두잇![리마스터링],,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,다큐멘터리,다큐/교양,,,,,,,,,,,,,,85.0,85.0,,,,,,,0,0,0,0,0,0,0,0,0,0
2373,아리아(2014),201505,아리아(2014),missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2014,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2374,모두하고있습니까?,201909,모두하고있습니까,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2375,나이트런닝맨,202101,나이트런닝맨,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2376,메리크리스마스미스터모,201801,메리크리스마스미스터모,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2377,집의시간들,201811,집의시간들,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2378,완벽한사육:인간사냥,201901,완벽한사육인간사냥,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2379,깊은밤갑자기,201811,깊은밤갑자기,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2380,디어존,201306,디어존,kobis+movie5171,B_or_C_kobis_unchecked,1,0,1,1,0,1,1,,1.0,1.0,,20100098,디어존,,디어 존,Dear John,장편,20100098,디어 존,Dear John,장편,라세 할스트롬,채닝 테이텀|아만다 사이프리드,,1.0000,,,,,드라마|멜로|로맨스|전쟁,드라마|멜로/로맨스|전쟁,드라마|로맨스|전쟁,드라마|로맨스|전쟁/재난|기타,,,미국,미국,미국,미국,,12세,12세,12세,,107.0,107.0,108.0,107.0,,2010,2010,2010,2010,2010,0,1,0,0,1,0,0,1,0,0
2381,파노스와요르고스그리고당나귀,202006,파노스와요르고스그리고당나귀,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2382,이층의악당(2010),201611,이층의악당(2010),wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_SU01_SU0000000016,,이층의악당(2010),이층의 악당,,,,,,,,,,2010,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,범죄|코미디,,,코미디|범죄|로맨스,스릴러/범죄|코미디,범죄|코미디,대한민국,,,대한민국,한국,15세,,,15세,115.8,,,115.0,115.8,2010,,,,,2010,0,0,0,1,0,0,0,1,0,0
2383,프라이머리컬러스,201303,프라이머리컬러스,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2384,묘가십이소,201301,묘가십이소,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2385,더트로이,201304,더트로이,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2386,쌍협,201504,쌍협,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2387,아메리칸히스토리X,202001,아메리칸히스토리x,kobis+movie5171,B_or_C_kobis_unchecked,1,0,1,1,0,1,1,,1.0,1.0,,19990168,아메리칸히스토리X,,아메리칸 히스토리X,American History X,장편,19990168,아메리칸 히스토리X,American History X,장편,토니 케이,에드워드 노튼|에드워드 펄롱|비벌리 단젤로,,1.0000,,,,,범죄|드라마,범죄|드라마,드라마|범죄,드라마|스릴러/범죄,,,미국,미국,미국,미국,,청불,청불,청불,,94.0,94.0,114.0,94.0,,1998,1999,1998,1999,1998,0,0,1,0,1,0,0,1,0,0
2388,비전스,202003,비전스,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2389,그린치(2000),201607,그린치(2000),wavve+movie5171,A_wavve,1,1,0,1,0,1,1,3.0,,1.0,MV_CG01_NU0000011330|MV_CG01_NU0000011337|MV_CG01_NU0000011396,,그린치(2000),(자막) 그린치|(더빙) 그린치|그린치,,,,,,,,,,2000,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,애니메이션|코미디|가족|SF|판타지,,,코미디|애니메이션|드라마|가족|판타지|유럽에서 제작,코미디|SF/판타지|애니메이션/키즈|가족,애니메이션|코미디|가족|판타지,미국,,,미국,미국,전체,,,전체,85.9,,,86.0,85.9,2018,,,,,2018,1,1,0,0,1,0,1,0,0,0
2390,코드오브아너,201701,코드오브아너,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2391,베드룸윈도우,201801,베드룸윈도우,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2392,더레이싱:이너셜드리프트,201704,더레이싱이너셜드리프트,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2393,아일랜드제로,202007,아일랜드제로,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_FS01_FS000000006,,아일랜드제로,아일랜드 제로,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,미스터리|공포,,,공포|스릴러|드라마|SF,스릴러/범죄|공포,미스터리|공포,미국,,,미국,미국,청불,,,청불,101.9,,,100.0,101.9,2020,,,,,2020,0,0,1,0,1,0,1,0,0,0
2394,악질경찰(2019),201904,악질경찰(2019),wavve+movie5171,A_wavve,1,1,0,1,0,1,1,2.0,,1.0,MV_CL01_JY0000012881|MV_CD01_WR0000011568,,악질경찰(2019),악질경찰 (2011)|악질경찰 (2019),,,,,,,,,,2019,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,드라마|스릴러,,,드라마|범죄|다큐멘터리,드라마|스릴러/범죄,드라마|스릴러,미국,,,미국|독일,미국,청불,,,청불,124.8,,,122.0,124.8,2015,,,,,2015,0,0,1,0,1,0,0,0,1,0
2396,리클레임,201701,리클레임,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2397,안나,201909,안나,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CK01_TCO000012295,,안나,안나,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,액션|스릴러,,,액션|스릴러|유럽에서 제작,액션|스릴러/범죄,액션|스릴러,캐나다|프랑스|과델로페도|세르비아|러시아|미국,,,미국|프랑스|Guadeloupe|러시아|세르비아,캐나다|프랑스|과델로페도|세르비아|러시아|미국,15세,,,15세,119.4,,,119.0,119.4,2019,,,,,2019,0,0,0,0,1,0,1,0,0,0
2398,겟스마트,201504,겟스마트,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CD01_WR0000011218,,겟스마트,겟 스마트,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,액션|코미디,,,코미디|스릴러|액션,액션|코미디,액션|코미디,미국,,,미국,미국,12세,,,12세,110.0,,,110.0,110.0,2008,,,,,2008,0,1,0,0,1,0,0,1,0,0
2399,어떤살인,201511,어떤살인,kobis+movie5171,B_or_C_kobis_unchecked,1,0,1,1,0,1,1,,1.0,1.0,,20143502,어떤살인,,어떤살인,The Lost Choices,장편,20143502,어떤살인,The Lost Choices,장편,안용훈,윤소이|신현빈|김용우|조영진|안세하,,1.0000,,,,,스릴러,스릴러,스릴러|드라마|범죄,스릴러/범죄,,,한국,한국,대한민국,한국,,청불,청불,청불,,108.0,108.0,108.0,108.0,,2015,2015,2015,2015,2015,0,0,1,1,0,0,0,0,0,0
2400,카드로만든집,201601,카드로만든집,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2401,총검장착,201809,총검장착,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2402,우리집(2019),201910,우리집(2019),wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CI01_LE0000011239,,우리집(2019),우리집,,,,,,,,,,2019,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,드라마|가족,,,드라마|가족|다큐멘터리,드라마|가족,드라마|가족,대한민국,,,대한민국,한국,전체,,,전체,92.1,,,93.0,92.1,2019,,,,,2019,0,1,0,1,0,0,1,0,0,0
2403,넥스트제네레이션패트레이버5,201504,넥스트제네레이션패트레이버5,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2404,스타워즈3:시스의복수,201701,스타워즈3시스의복수,movie5171,M_movie5171_auxiliary_fallback,1,0,0,1,1,0,1,,,1.0,,,스타워즈3:시스의복수,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,다큐멘터리,다큐/교양,,,,,,,,,,,,,,85.0,85.0,,,,,,,0,0,0,0,0,0,0,0,0,0
2405,위대한유산,201305,위대한유산,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,3.0,,1.0,MV_LX01_LX0000000173|MV_CH01_FX0000011309|MV_EN01_EN000000290,,위대한유산,위대한 유산 (1946)|위대한 유산 (1998)|위대한 유산 (2003),,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,드라마|로맨스|코미디,,,드라마|역사,드라마|코미디|로맨스,드라마|로맨스|코미디,영국|미국|대한민국,,,미국,영국|미국|한국,15세|청불,,,15세|청불,117.0,,,126.0,117.0,1998,,,,,1998,0,0,0,1,1,0,0,1,0,0
