column_order,column_name,primary_role,feature_family,sub_family,source_semantics_guess,timing_family,allowed_for_overall_model_candidate,allowed_for_groupwise_model_candidate,allowed_for_baseline_ladder_membership_only,allowed_for_baseline_ladder_activation,allowed_for_baseline_ladder_retention_w2,allowed_for_baseline_ladder_retention_w3,allowed_for_baseline_ladder_content,allowed_for_segment_design_candidate,reason,required_user_confirmation,future_step_to_resolve,patched_primary_role,patched_feature_family,patched_sub_family,patched_timing_family,patched_allowed_for_overall_model_candidate,patched_allowed_for_groupwise_model_candidate,patched_allowed_for_baseline_ladder_membership_only,patched_allowed_for_baseline_ladder_activation,patched_allowed_for_baseline_ladder_retention_w2,patched_allowed_for_baseline_ladder_retention_w3,patched_allowed_for_baseline_ladder_content,patched_allowed_for_segment_design_candidate,patched_reason,patched_required_user_confirmation,patched_future_step_to_resolve,patch_changed,patch_change_summary
49,avg_rewatch_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,aggregate_usage_review,engagement_depth,avg_rewatch_ratio,all_period_ambiguous,review,review,no,no,no,no,no,review,"avg_rewatch_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",yes,confirm_usage_ratio_window_before_modeling,yes,primary_role: genre_ratio -> aggregate_usage_review; feature_family: content_genre -> engagement_depth; sub_family: genre_or_ratio -> avg_rewatch_ratio; timing_family: content_window_ambiguous -> all_period_ambiguous
50,weekend_watch_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,aggregate_usage_review,viewing_pattern,weekend_watch_ratio,all_period_ambiguous,review,review,no,no,no,no,no,review,"weekend_watch_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",yes,confirm_usage_ratio_window_before_modeling,yes,primary_role: genre_ratio -> aggregate_usage_review; feature_family: content_genre -> viewing_pattern; sub_family: genre_or_ratio -> weekend_watch_ratio; timing_family: content_window_ambiguous -> all_period_ambiguous
51,watch_ratio_under_1m,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,aggregate_usage_review,short_watch_behavior,watch_ratio_under_1m,all_period_ambiguous,review,review,no,no,no,no,no,review,"watch_ratio_under_1m is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",yes,confirm_usage_ratio_window_before_modeling,yes,primary_role: genre_ratio -> aggregate_usage_review; feature_family: content_genre -> short_watch_behavior; sub_family: genre_or_ratio -> watch_ratio_under_1m; timing_family: content_window_ambiguous -> all_period_ambiguous
52,watch_ratio_under_5m,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,aggregate_usage_review,short_watch_behavior,watch_ratio_under_5m,all_period_ambiguous,review,review,no,no,no,no,no,review,"watch_ratio_under_5m is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",yes,confirm_usage_ratio_window_before_modeling,yes,primary_role: genre_ratio -> aggregate_usage_review; feature_family: content_genre -> short_watch_behavior; sub_family: genre_or_ratio -> watch_ratio_under_5m; timing_family: content_window_ambiguous -> all_period_ambiguous
55,movie_per_active_day,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,movie_per_active_day,all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> movie_per_active_day; timing_family: unknown -> all_period_ambiguous
56,max_day_share,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,max_day_share,all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> max_day_share; timing_family: unknown -> all_period_ambiguous
57,day_count_over_3times,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,day_count_over_3times,all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> day_count_over_3times; timing_family: unknown -> all_period_ambiguous
75,new_movie_in_90d_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,content_recency,content_recency,new_movie_in_90d_ratio,content_recency_window_ambiguous,review,review,no,no,no,no,review,review,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",yes,confirm_content_window_before_modeling,yes,primary_role: genre_ratio -> content_recency; feature_family: content_genre -> content_recency; sub_family: genre_or_ratio -> new_movie_in_90d_ratio; timing_family: content_window_ambiguous -> content_recency_window_ambiguous
76,new_movie_in_180d_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,content_recency,content_recency,new_movie_in_180d_ratio,content_recency_window_ambiguous,review,review,no,no,no,no,review,review,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",yes,confirm_content_window_before_modeling,yes,primary_role: genre_ratio -> content_recency; feature_family: content_genre -> content_recency; sub_family: genre_or_ratio -> new_movie_in_180d_ratio; timing_family: content_window_ambiguous -> content_recency_window_ambiguous
77,new_movie_in_365d_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,content_recency,content_recency,new_movie_in_365d_ratio,content_recency_window_ambiguous,review,review,no,no,no,no,review,review,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",yes,confirm_content_window_before_modeling,yes,primary_role: genre_ratio -> content_recency; feature_family: content_genre -> content_recency; sub_family: genre_or_ratio -> new_movie_in_365d_ratio; timing_family: content_window_ambiguous -> content_recency_window_ambiguous
78,old_movie_ratio(5y),genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,genre_or_ratio,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,no,
79,avg_ott_release_year,content_recency,content,release_or_cold_start,content-derived window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,content_recency,content_metadata_recency,avg_release_year,content_recency_window_ambiguous,review,review,no,no,no,no,review,review,Average release year is content metadata/recency; construction window remains unresolved.,yes,confirm_content_window_before_modeling,yes,feature_family: content -> content_metadata_recency; sub_family: release_or_cold_start -> avg_release_year; timing_family: content_window_ambiguous -> content_recency_window_ambiguous
80,genre_diversity_count,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,genre_diversity_count,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> genre_diversity_count
81,action_adventure_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,action_adventure_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> action_adventure_ratio
82,family_animation_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,family_animation_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> family_animation_ratio
83,drama_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,drama_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> drama_ratio
84,thriller_crime_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,thriller_crime_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> thriller_crime_ratio
85,sf_fantasy_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,sf_fantasy_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> sf_fantasy_ratio
86,comedy_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,comedy_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> comedy_ratio
87,romance_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,romance_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> romance_ratio
88,horror_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,horror_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> horror_ratio
89,documentary_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,documentary_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> documentary_ratio
90,historical_war_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,historical_war_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> historical_war_ratio
91,other_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,other_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> other_ratio
