metric,count,note,MOVIE_NUM,duplicate_group_size,source_row_numbers,conflicting_columns,genre_conflict_flag,chosen_source_row_number,chosen_genre,dedupe_rule
raw_moviemaster_rows,14502,Raw Movie_Master before deduplication.,,,,,,,,
deduplicated_moviemaster_rows,14018,One representative row per MOVIE_NUM used for content join.,,,,,,,,
duplicate_MOVIE_NUM_groups,380,Preserved in detail rows below.,,,,,,,,
genre_conflict_MOVIE_NUM_groups,9,Conflicting rows saved separately.,,,,,,,,
,,,5,2,7|8,,N,7,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7652,2,7621|7622,,N,7621,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7674,3,7644|7645|7646,,N,7644,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7679,2,7651|7652,,N,7651,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7738,2,7709|7710,,N,7709,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7874,3,7839|7840|7841,,N,7839,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7931,4,7898|7899|7900|7901,,N,7898,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7938,2,7908|7909,,N,7908,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7941,2,7912|7913,,N,7912,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7976,2,7945|7946,,N,7945,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7979,2,7949|7950,,N,7949,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7998,2,7967|7968,,N,7967,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8004,2,7974|7975,,N,7974,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8103,5,8069|8070|8071|8072|8073,,N,8069,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8183,2,8149|8150,,N,8149,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8187,2,8154|8155,,N,8154,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8200,2,8167|8168,,N,8167,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8209,2,8177|8178,,N,8177,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8266,2,8233|8234,,N,8233,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8284,2,8252|8253,,N,8252,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8338,3,8307|8308|8309,,N,8307,Other,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8367,2,8338|8339,,N,8338,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8410,4,8378|8379|8380|8381,,N,8378,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8579,2,8544|8545,,N,8544,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8583,2,8549|8550,,N,8549,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8621,2,8587|8588,,N,8587,Historical/War,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8642,2,8609|8610,,N,8609,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8675,2,8640|8641,,N,8640,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8749,2,8712|8713,,N,8712,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8842,3,8802|8803|8804,,N,8802,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8913,2,8875|8876,,N,8875,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8939,2,8902|8903,,N,8902,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8958,3,8922|8923|8924,,N,8922,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8970,2,8936|8937,,N,8936,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,8971,2,8938|8939,,N,8938,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9018,2,8985|8986,,N,8985,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9095,2,9059|9060,,N,9059,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9113,2,9076|9077,,N,9076,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9188,2,9150|9151,,N,9150,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9247,2,9205|9206,,N,9205,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9276,3,9234|9235|9236,,N,9234,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9277,3,9237|9238|9239,,N,9237,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9341,2,9301|9302,,N,9301,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9374,3,9334|9335|9336,,N,9334,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9416,2,9376|9377,,N,9376,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9447,2,9408|9409,,N,9408,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9466,2,9428|9429,,N,9428,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9473,2,9436|9437,,N,9436,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9482,2,9444|9445,,N,9444,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9524,2,9485|9486,,N,9485,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9630,2,9587|9588,,N,9587,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9664,5,9620|9621|9622|9623|9624,genre,Y,9620,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9665,3,9625|9626|9627,,N,9625,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9712,2,9673|9674,,N,9673,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9713,2,9675|9676,,N,9675,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9745,2,9705|9706,,N,9705,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9829,2,9783|9784,,N,9783,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9909,2,9861|9862,,N,9861,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9944,2,9897|9898,,N,9897,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,9969,2,9921|9922,,N,9921,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10213,2,10153|10154,,N,10153,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10218,2,10159|10160,,N,10159,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10259,2,10201|10202,,N,10201,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10263,2,10206|10207,,N,10206,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10281,2,10224|10225,,N,10224,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10343,3,10284|10285|10286,,N,10284,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10363,2,10306|10307,,N,10306,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10422,2,10365|10366,,N,10365,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10446,2,10390|10391,,N,10390,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10468,3,10412|10413|10414,,N,10412,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10506,2,10452|10453,,N,10452,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10508,2,10455|10456,genre,Y,10455,Historical/War,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10523,2,10471|10472,,N,10471,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10532,3,10481|10482|10483,,N,10481,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10663,2,10611|10612,,N,10611,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10780,2,10723|10724,,N,10723,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10838,2,10781|10782,,N,10781,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10860,2,10803|10804,,N,10803,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10938,2,10877|10878,,N,10877,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10953,2,10892|10893,,N,10892,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10961,2,10901|10902,,N,10901,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,10994,2,10933|10934,,N,10933,Historical/War,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11022,2,10960|10961,,N,10960,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11037,2,10976|10977,,N,10976,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11047,2,10987|10988,,N,10987,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11062,2,11001|11002,,N,11001,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11087,2,11026|11027,,N,11026,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11110,2,11048|11049,,N,11048,Horror,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11135,2,11072|11073,,N,11072,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11193,2,11128|11129,,N,11128,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11264,2,11197|11198,,N,11197,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11339,2,11271|11272,,N,11271,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11363,2,11294|11295,,N,11294,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11446,2,11375|11376,,N,11375,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11473,2,11401|11402,,N,11401,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11519,2,11447|11448,,N,11447,Horror,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11667,2,11591|11592,,N,11591,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11674,2,11599|11600,,N,11599,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11709,4,11633|11634|11635|11636,,N,11633,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11727,3,11652|11653|11654,,N,11652,Other,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11736,2,11662|11663,,N,11662,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11739,3,11665|11666|11667,,N,11665,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11768,3,11696|11697|11698,,N,11696,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11769,3,11699|11700|11701,,N,11699,Historical/War,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11797,2,11728|11729,,N,11728,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11860,2,11790|11791,,N,11790,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11933,2,11863|11864,,N,11863,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11935,3,11866|11867|11868,,N,11866,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11957,2,11887|11888,,N,11887,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11978,3,11909|11910|11911,,N,11909,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11993,2,11925|11926,,N,11925,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12006,2,11939|11940,,N,11939,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12078,2,12010|12011,,N,12010,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12113,2,12043|12044,,N,12043,Horror,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12132,4,12063|12064|12065|12066,,N,12063,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12135,2,12069|12070,genre,Y,12069,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12159,3,12093|12094|12095,,N,12093,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12174,2,12109|12110,,N,12109,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12260,2,12195|12196,,N,12195,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12276,2,12212|12213,,N,12212,Horror,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12298,3,12235|12236|12237,,N,12235,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12300,2,12239|12240,,N,12239,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12320,3,12258|12259|12260,,N,12258,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12333,3,12273|12274|12275,,N,12273,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12382,2,12323|12324,,N,12323,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12504,2,12438|12439,,N,12438,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12648,2,12576|12577,,N,12576,Other,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12651,2,12580|12581,,N,12580,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12683,5,12611|12612|12613|12614|12615,,N,12611,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12751,2,12679|12680,,N,12679,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12759,2,12687|12688,,N,12687,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12769,3,12698|12699|12700,,N,12698,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12795,2,12725|12726,,N,12725,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12800,2,12731|12732,,N,12731,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12828,2,12760|12761,,N,12760,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12880,2,12813|12814,,N,12813,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12885,2,12819|12820,,N,12819,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,12948,2,12878|12879,,N,12878,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13035,2,12959|12960,,N,12959,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13065,3,12988|12989|12990,,N,12988,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13069,2,12994|12995,,N,12994,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13077,2,13002|13003,,N,13002,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13085,2,13010|13011,,N,13010,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13102,2,13028|13029,,N,13028,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13111,2,13038|13039,,N,13038,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13124,2,13051|13052,,N,13051,Horror,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13138,2,13066|13067,,N,13066,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13176,4,13103|13104|13105|13106,,N,13103,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13237,3,13164|13165|13166,,N,13164,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13278,2,13205|13206,,N,13205,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13282,2,13210|13211,,N,13210,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13298,2,13227|13228,,N,13227,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13326,2,13253|13254,,N,13253,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13327,2,13255|13256,,N,13255,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13336,2,13264|13265,,N,13264,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13370,2,13298|13299,,N,13298,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13397,2,13325|13326,,N,13325,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13557,2,13479|13480,,N,13479,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13604,3,13523|13524|13525,,N,13523,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13608,2,13529|13530,,N,13529,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13808,2,13725|13726,,N,13725,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13897,2,13810|13811,,N,13810,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13909,2,13822|13823,,N,13822,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,13945,2,13858|13859,,N,13858,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,14033,2,13946|13947,,N,13946,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,14059,3,13973|13974|13975,,N,13973,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,14119,2,14033|14034,,N,14033,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,14126,2,14041|14042,,N,14041,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,14287,3,14190|14191|14192,,N,14190,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,14295,2,14199|14200,,N,14199,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,14308,3,14212|14213|14214,,N,14212,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,14366,2,14269|14270,,N,14269,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,14380,4,14283|14284|14285|14286,,N,14283,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,14407,2,14313|14314,,N,14313,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,14452,2,14357|14358,,N,14357,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,14500,2,14405|14406,,N,14405,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,14582,3,14486|14487|14488,,N,14486,Horror,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
