column_order,column_name,primary_role,feature_family,sub_family,source_semantics_guess,timing_family,allowed_for_overall_model_candidate,allowed_for_groupwise_model_candidate,allowed_for_baseline_ladder_membership_only,allowed_for_baseline_ladder_activation,allowed_for_baseline_ladder_retention_w2,allowed_for_baseline_ladder_retention_w3,allowed_for_baseline_ladder_content,allowed_for_segment_design_candidate,reason,required_user_confirmation,future_step_to_resolve,patched_primary_role,patched_feature_family,patched_sub_family,patched_timing_family,patched_allowed_for_overall_model_candidate,patched_allowed_for_groupwise_model_candidate,patched_allowed_for_baseline_ladder_membership_only,patched_allowed_for_baseline_ladder_activation,patched_allowed_for_baseline_ladder_retention_w2,patched_allowed_for_baseline_ladder_retention_w3,patched_allowed_for_baseline_ladder_content,patched_allowed_for_segment_design_candidate,patched_reason,patched_required_user_confirmation,patched_future_step_to_resolve,patch_changed,patch_change_summary
44,avg_gap_between_watch_days,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,avg_gap_between_watch_days,all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> avg_gap_between_watch_days; timing_family: unknown -> all_period_ambiguous
45,avg_gap_w1_watch_days,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_observation,yes,yes,review,yes,review,review,review,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation,activation,usage_observation,avg_gap_w1_watch_days,week1_observation,yes,yes,no,yes,no,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_activation,yes,sub_family: week1 -> avg_gap_w1_watch_days
46,avg_gap_w2_watch_days,retention,usage_observation,week2_or_change,explicit week2 behavior/change within observation window if construction matches name,week2_observation,yes,yes,review,review,yes,review,review,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w2,retention,usage_observation,avg_gap_w2_watch_days,week2_observation,yes,yes,no,no,yes,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w2,yes,sub_family: week2_or_change -> avg_gap_w2_watch_days
47,avg_gap_w3_watch_days,retention,usage_observation,week3_or_change,explicit week3 behavior/change within observation window if construction matches name,week3_observation,yes,yes,review,review,review,yes,review,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w3,retention,usage_observation,avg_gap_w3_watch_days,week3_observation,yes,yes,no,no,no,yes,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w3,yes,sub_family: week3_or_change -> avg_gap_w3_watch_days
48,max_inactive_gap_days,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,max_inactive_gap_days,all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> max_inactive_gap_days; timing_family: unknown -> all_period_ambiguous
49,avg_rewatch_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,aggregate_usage_review,engagement_depth,avg_rewatch_ratio,all_period_ambiguous,review,review,no,no,no,no,no,review,"avg_rewatch_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",yes,confirm_usage_ratio_window_before_modeling,yes,primary_role: genre_ratio -> aggregate_usage_review; feature_family: content_genre -> engagement_depth; sub_family: genre_or_ratio -> avg_rewatch_ratio; timing_family: content_window_ambiguous -> all_period_ambiguous
50,weekend_watch_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,aggregate_usage_review,viewing_pattern,weekend_watch_ratio,all_period_ambiguous,review,review,no,no,no,no,no,review,"weekend_watch_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",yes,confirm_usage_ratio_window_before_modeling,yes,primary_role: genre_ratio -> aggregate_usage_review; feature_family: content_genre -> viewing_pattern; sub_family: genre_or_ratio -> weekend_watch_ratio; timing_family: content_window_ambiguous -> all_period_ambiguous
51,watch_ratio_under_1m,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,aggregate_usage_review,short_watch_behavior,watch_ratio_under_1m,all_period_ambiguous,review,review,no,no,no,no,no,review,"watch_ratio_under_1m is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",yes,confirm_usage_ratio_window_before_modeling,yes,primary_role: genre_ratio -> aggregate_usage_review; feature_family: content_genre -> short_watch_behavior; sub_family: genre_or_ratio -> watch_ratio_under_1m; timing_family: content_window_ambiguous -> all_period_ambiguous
52,watch_ratio_under_5m,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,aggregate_usage_review,short_watch_behavior,watch_ratio_under_5m,all_period_ambiguous,review,review,no,no,no,no,no,review,"watch_ratio_under_5m is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",yes,confirm_usage_ratio_window_before_modeling,yes,primary_role: genre_ratio -> aggregate_usage_review; feature_family: content_genre -> short_watch_behavior; sub_family: genre_or_ratio -> watch_ratio_under_5m; timing_family: content_window_ambiguous -> all_period_ambiguous
53,is_cold_start_3d,content_recency,content,release_or_cold_start,content-derived window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,activation,activation_onboarding,is_cold_start_3d,early_activation,yes,yes,no,yes,no,no,no,yes,"Cold-start flag is early activation/onboarding behavior, not content recency; 3d/7d is inside the allowed observation window.",no,baseline_ladder_activation,yes,primary_role: content_recency -> activation; feature_family: content -> activation_onboarding; sub_family: release_or_cold_start -> is_cold_start_3d; timing_family: content_window_ambiguous -> early_activation; allowed_for_overall_model_candidate: review -> yes; allowed_for_groupwise_model_candidate: review -> yes
54,is_cold_start_7d,content_recency,content,release_or_cold_start,content-derived window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,activation,activation_onboarding,is_cold_start_7d,week1_observation,yes,yes,no,yes,no,no,no,yes,"Cold-start flag is early activation/onboarding behavior, not content recency; 3d/7d is inside the allowed observation window.",no,baseline_ladder_activation,yes,primary_role: content_recency -> activation; feature_family: content -> activation_onboarding; sub_family: release_or_cold_start -> is_cold_start_7d; timing_family: content_window_ambiguous -> week1_observation; allowed_for_overall_model_candidate: review -> yes; allowed_for_groupwise_model_candidate: review -> yes
55,movie_per_active_day,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,movie_per_active_day,all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> movie_per_active_day; timing_family: unknown -> all_period_ambiguous
56,max_day_share,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,max_day_share,all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> max_day_share; timing_family: unknown -> all_period_ambiguous
57,day_count_over_3times,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,day_count_over_3times,all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> day_count_over_3times; timing_family: unknown -> all_period_ambiguous
58,watch_time(min)_w1,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_observation,yes,yes,review,yes,review,review,review,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation,activation,usage_observation,watch_time(min)_w1,week1_observation,yes,yes,no,yes,no,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_activation,yes,sub_family: week1 -> watch_time(min)_w1
59,watch_time(min)_w2,retention,usage_observation,week2_or_change,explicit week2 behavior/change within observation window if construction matches name,week2_observation,yes,yes,review,review,yes,review,review,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w2,retention,usage_observation,watch_time(min)_w2,week2_observation,yes,yes,no,no,yes,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w2,yes,sub_family: week2_or_change -> watch_time(min)_w2
60,watch_time(min)_w3,retention,usage_observation,week3_or_change,explicit week3 behavior/change within observation window if construction matches name,week3_observation,yes,yes,review,review,review,yes,review,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w3,retention,usage_observation,watch_time(min)_w3,week3_observation,yes,yes,no,no,no,yes,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w3,yes,sub_family: week3_or_change -> watch_time(min)_w3
61,watch_session_w1,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_observation,yes,yes,review,yes,review,review,review,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation,activation,usage_observation,watch_session_w1,week1_observation,yes,yes,no,yes,no,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_activation,yes,sub_family: week1 -> watch_session_w1
62,watch_session_w2,retention,usage_observation,week2_or_change,explicit week2 behavior/change within observation window if construction matches name,week2_observation,yes,yes,review,review,yes,review,review,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w2,retention,usage_observation,watch_session_w2,week2_observation,yes,yes,no,no,yes,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w2,yes,sub_family: week2_or_change -> watch_session_w2
63,watch_session_w3,retention,usage_observation,week3_or_change,explicit week3 behavior/change within observation window if construction matches name,week3_observation,yes,yes,review,review,review,yes,review,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w3,retention,usage_observation,watch_session_w3,week3_observation,yes,yes,no,no,no,yes,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w3,yes,sub_family: week3_or_change -> watch_session_w3
64,retention_w2_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,week2_observation,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,retention,retention_ratio,w2_ratio,week1_to_week2_change,yes,yes,no,no,yes,no,no,yes,"retention_w2_ratio is retention behavior, not genre. Name explicitly references allowed week window; allowed status corrected to yes under the day0-20 observation contract.",no,baseline_ladder_retention,yes,primary_role: genre_ratio -> retention; feature_family: content_genre -> retention_ratio; sub_family: genre_or_ratio -> w2_ratio; timing_family: week2_observation -> week1_to_week2_change; allowed_for_overall_model_candidate: review -> yes; allowed_for_groupwise_model_candidate: review -> yes
65,retention_w3_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,week3_observation,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,retention,retention_ratio,w3_ratio,week1_to_week3_change,yes,yes,no,no,no,yes,no,yes,"retention_w3_ratio is retention behavior, not genre. Name explicitly references allowed week window; allowed status corrected to yes under the day0-20 observation contract.",no,baseline_ladder_retention,yes,primary_role: genre_ratio -> retention; feature_family: content_genre -> retention_ratio; sub_family: genre_or_ratio -> w3_ratio; timing_family: week3_observation -> week1_to_week3_change; allowed_for_overall_model_candidate: review -> yes; allowed_for_groupwise_model_candidate: review -> yes
66,diff_between_w2_w1,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_to_week2_change,review,review,review,review,review,review,review,review,"explicit week1 behavior within observation window if construction matches name. Evidence: week1-week2 change. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation,retention,retention_change,diff_between_w2_w1,week1_to_week2_change,yes,yes,no,no,yes,no,no,yes,Week-to-week difference feature within week1 to week3 observation window; role/family corrected to retention_change.,no,baseline_ladder_retention_change,yes,primary_role: activation -> retention; feature_family: usage_observation -> retention_change; sub_family: week1 -> diff_between_w2_w1; allowed_for_overall_model_candidate: review -> yes; allowed_for_groupwise_model_candidate: review -> yes
67,diff_between_w3_w1,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_to_week3_change,review,review,review,review,review,review,review,review,"explicit week1 behavior within observation window if construction matches name. Evidence: week1-week3 change. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation,retention,retention_change,diff_between_w3_w1,week1_to_week3_change,yes,yes,no,no,no,yes,no,yes,Week-to-week difference feature within week1 to week3 observation window; role/family corrected to retention_change.,no,baseline_ladder_retention_change,yes,primary_role: activation -> retention; feature_family: usage_observation -> retention_change; sub_family: week1 -> diff_between_w3_w1; allowed_for_overall_model_candidate: review -> yes; allowed_for_groupwise_model_candidate: review -> yes
68,diff_between_w3_w2,retention,usage_observation,week2_or_change,explicit week2 behavior/change within observation window if construction matches name,week2_to_week3_change,yes,yes,review,review,review,yes,review,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: week2-week3 change. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w2,retention,retention_change,diff_between_w3_w2,week2_to_week3_change,yes,yes,no,no,no,yes,no,yes,Week-to-week difference feature within week1 to week3 observation window; role/family corrected to retention_change.,no,baseline_ladder_retention_change,yes,feature_family: usage_observation -> retention_change; sub_family: week2_or_change -> diff_between_w3_w2
69,is_w1_over_50pct,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_observation,yes,yes,review,yes,review,review,review,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation,activation,usage_observation,is_w1_over_50pct,week1_observation,yes,yes,no,yes,no,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_activation,yes,sub_family: week1 -> is_w1_over_50pct
70,is_w2_over_50pct,retention,usage_observation,week2_or_change,explicit week2 behavior/change within observation window if construction matches name,week2_observation,yes,yes,review,review,yes,review,review,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w2,retention,usage_observation,is_w2_over_50pct,week2_observation,yes,yes,no,no,yes,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w2,yes,sub_family: week2_or_change -> is_w2_over_50pct
71,is_w3_over_50pct,retention,usage_observation,week3_or_change,explicit week3 behavior/change within observation window if construction matches name,week3_observation,yes,yes,review,review,review,yes,review,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w3,retention,usage_observation,is_w3_over_50pct,week3_observation,yes,yes,no,no,no,yes,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w3,yes,sub_family: week3_or_change -> is_w3_over_50pct
72,is_only_w1,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_observation,yes,yes,review,yes,review,review,review,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation,activation,usage_observation,is_only_w1,week1_observation,yes,yes,no,yes,no,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_activation,yes,sub_family: week1 -> is_only_w1
73,is_only_w2,retention,usage_observation,week2_or_change,explicit week2 behavior/change within observation window if construction matches name,week2_observation,yes,yes,review,review,yes,review,review,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w2,retention,usage_observation,is_only_w2,week2_observation,yes,yes,no,no,yes,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w2,yes,sub_family: week2_or_change -> is_only_w2
74,is_only_w3,retention,usage_observation,week3_or_change,explicit week3 behavior/change within observation window if construction matches name,week3_observation,yes,yes,review,review,review,yes,review,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w3,retention,usage_observation,is_only_w3,week3_observation,yes,yes,no,no,no,yes,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w3,yes,sub_family: week3_or_change -> is_only_w3
75,new_movie_in_90d_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,content_recency,content_recency,new_movie_in_90d_ratio,content_recency_window_ambiguous,review,review,no,no,no,no,review,review,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",yes,confirm_content_window_before_modeling,yes,primary_role: genre_ratio -> content_recency; feature_family: content_genre -> content_recency; sub_family: genre_or_ratio -> new_movie_in_90d_ratio; timing_family: content_window_ambiguous -> content_recency_window_ambiguous
76,new_movie_in_180d_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,content_recency,content_recency,new_movie_in_180d_ratio,content_recency_window_ambiguous,review,review,no,no,no,no,review,review,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",yes,confirm_content_window_before_modeling,yes,primary_role: genre_ratio -> content_recency; feature_family: content_genre -> content_recency; sub_family: genre_or_ratio -> new_movie_in_180d_ratio; timing_family: content_window_ambiguous -> content_recency_window_ambiguous
77,new_movie_in_365d_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,content_recency,content_recency,new_movie_in_365d_ratio,content_recency_window_ambiguous,review,review,no,no,no,no,review,review,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",yes,confirm_content_window_before_modeling,yes,primary_role: genre_ratio -> content_recency; feature_family: content_genre -> content_recency; sub_family: genre_or_ratio -> new_movie_in_365d_ratio; timing_family: content_window_ambiguous -> content_recency_window_ambiguous
78,old_movie_ratio(5y),genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,genre_or_ratio,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,no,
79,avg_ott_release_year,content_recency,content,release_or_cold_start,content-derived window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,content_recency,content_metadata_recency,avg_release_year,content_recency_window_ambiguous,review,review,no,no,no,no,review,review,Average release year is content metadata/recency; construction window remains unresolved.,yes,confirm_content_window_before_modeling,yes,feature_family: content -> content_metadata_recency; sub_family: release_or_cold_start -> avg_release_year; timing_family: content_window_ambiguous -> content_recency_window_ambiguous
80,genre_diversity_count,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,genre_diversity_count,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> genre_diversity_count
81,action_adventure_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,action_adventure_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> action_adventure_ratio
82,family_animation_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,family_animation_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> family_animation_ratio
83,drama_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,drama_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> drama_ratio
84,thriller_crime_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,thriller_crime_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> thriller_crime_ratio
85,sf_fantasy_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,sf_fantasy_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> sf_fantasy_ratio
86,comedy_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,comedy_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> comedy_ratio
87,romance_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,romance_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> romance_ratio
88,horror_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,horror_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> horror_ratio
89,documentary_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,genre_ratio,content_genre,documentary_ratio,content_window_ambiguous,review,review,no,no,no,no,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,yes,confirm_content_window_before_modeling,yes,sub_family: genre_or_ratio -> documentary_ratio
